district,female,eco,총계,비율
서울특별시 종로구,67145,71,131531,51.04880218
서울특별시 중구,54142,83,106393,50.88868629
서울특별시 용산구,97785,67,187585,52.12836847
서울특별시 성동구,127177,62,251484,50.57061284
서울특별시 광진구,159622,59,312181,51.13123476
서울특별시 동대문구,156372,72,311471,50.20435289
서울특별시 중랑구,177964,50,352356,50.50687373
서울특별시 성북구,201541,57,389212,51.78180529
서울특별시 강북구,144267,42,280887,51.36122355
서울특별시 도봉구,153142,53,297441,51.48651329
서울특별시 노원구,250200,50,483317,51.76726662
서울특별시 은평구,213762,54,413163,51.73793394
서울특별시 서대문구,138250,62,265026,52.16469328
서울특별시 마포구,169848,56,323869,52.4434262
서울특별시 양천구,201343,42,394857,50.99137156
서울특별시 강서구,252476,44,489344,51.59478812
서울특별시 구로구,177887,37,352145,50.5152707
서울특별시 금천구,99186,49,201385,49.25193038
서울특별시 영등포구,159142,55,315330,50.46839819
서울특별시 동작구,177809,48,348085,51.08206329
서울특별시 관악구,222001,46,447355,49.6252417
서울특별시 서초구,185427,50,352667,52.57849473
서울특별시 강남구,245377,62,464687,52.80479118
서울특별시 송파구,279139,65,539989,51.69346042
서울특별시 강동구,193713,54,382072,50.70065328
부산광역시 중구,20616,71,40144,51.35512156
부산광역시 서구,51581,49,100269,51.44261935
부산광역시 동구,40872,38,79902,51.15266201
부산광역시 영도구,57958,43,116219,49.86964266
부산광역시 부산진구,171720,36,332542,51.63859001
부산광역시 동래구,117802,45,229302,51.37417031
부산광역시 남구,126036,39,246919,51.0434596
부산광역시 북구,132412,32,261439,50.64737855
부산광역시 해운대구,181654,37,350166,51.87653856
부산광역시 사하구,145709,40,288773,50.45797218
부산광역시 금정구,112928,36,220474,51.22055208
부산광역시 강서구,34775,35,70974,48.99681574
부산광역시 연제구,91817,40,178121,51.54754352
부산광역시 수영구,81017,55,153888,52.64673009
부산광역시 사상구,103884,32,208785,49.75644802
부산광역시 기장군,61286,28,118622,51.66495254
제주특별자치도 제주시,184661,46,365913,50.46582111
제주특별자치도 서귀포시,63747,49,127353,50.05535794
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,